5 4 1	.OOTTFIII.PFYAA.P.YCCDD.MUUU.LMKKEEL Y99 I99 F99 M99 
5 4 1	OO.TTF.IIIPFYAA.P.YCCDD.MUUU.LMKKEEL O99 F99 Y99 M99 
5 3 2	YOOTT.YIIIP...AAPFMCCDDFMUUU.L.KKEEL Y99 F99 A99 
5 4 1	YOOTTFYIIIPF..AAP.MCC.DDMUUU.L.KKEEL Y99 F99 A99 D99 
5 4 1	OOTT.FYIIIPFYAA.P.MCC.DDMUUU.L.KKEEL O99 T99 F99 D99 
5 3 2	.OO.TTYIIIPFYAA.PFMCC.DDM.UUUL.KKEEL T99 D99 U99 
5 4 1	YOOTTFYIIIPF.AA.P..CC.DDMUUU.LMKKEEL Y99 F99 M99 D99 
5 3 2	YOOTTFYIIIPF.AA.PLMCCDDLMUUU...KKEE. Y99 F99 L98 
5 4 1	YOOTTFYIIIPFAA..P..CCDD.MUUU.LMKKEEL Y99 F99 A99 M99 
5 3 2	OO.TT.YIIIPFYAA.PF.CC.DDMUUU.LMKKEEL O99 D99 M99 
5 3 2	OO.TT.YIIIPFYAA.PFCC.DD.MUUU.LMKKEEL O99 C99 M99 
5 4 1	YOOTTFYIIIPFMAA.P.MCC.DD.UUU.L.KKEEL Y99 F99 M99 D99 
5 3 2	YOOTT.YIIIP.AA..PFMCCDDFMUUU.L.KKEEL Y99 F99 A99 
5 3 2	OOTT..YIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 T99 M99 
5 4 1	.OOTTFYIIIPFY.AAP..CC.DDMUUU.LMKKEEL F99 A99 M99 D99 
5 4 1	.OOTTFYIIIPFY.AAP.MCCDDLM.UUUL.KKEE. F99 A99 U99 L99 
5 4 1	YOOTTFYIIIPF..AAP..CCDD.MUUU.LMKKEEL Y99 F99 A99 M99 
5 4 1	.OOTTF.IIIPFY.AAP.YCCDD.MUUU.LMKKEEL Y99 F99 A99 M99 
5 4 1	OO.TTFYIIIPFY.AAP.MCCDDLMUUU.L.KKEE. O99 F99 A99 L99 
5 3 2	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.LKK..EE L99 K99 E99 
5 3 2	.OOTT.YIIIPFYAA.PFMCC.DDM.UUULKK.EEL D99 U99 K99 
5 4 1	OO.TTFYIIIPFY.AAP..CCDD.MUUU.LMKKEEL O99 F99 A99 M99 
5 4 1	.OOTTFYIIIPFYAA.P.CC..DDMUUU.LMKKEEL F99 M99 C99 D99 
5 3 2	.OOTT.YIIIPFYAA.PFMCCDDLM.UUUL.KK.EE U99 L99 E99 
