4 4 0	FFFEED...RODUAARO.UBBB.JIII..J...TT. U99 J99 B99 T99 
4 4 0	FFFEED...RODUAARO.UBBB.JIII..J..TT.. U99 J99 B99 T98 
4 4 0	FFFEED...RODUAARO.UBBB.JIII..J.TT... U99 J99 B99 T97 
4 4 0	FFFEED...RODUAARO.UBBB.JIII..JTT.... U99 J99 B99 T96 
4 4 0	FFFEED...RODUAARO.U.BBBJ.III.J...TT. U99 J99 I99 T99 
4 4 0	FFFEED...RODUAARO.U.BBBJ.III.J..TT.. U99 J99 I99 T98 
4 4 0	FFFEED...RODUAARO.U.BBBJ.III.J.TT... U99 J99 I99 T97 
4 4 0	FFFEED...RODUAARO.U.BBBJ.III.JTT.... U99 J99 I99 T96 
4 4 0	FFFEED...RODUAARO.U.BBBJ..IIIJ...TT. U99 J99 I98 T99 
4 4 0	FFFEED...RODUAARO.U.BBBJ..IIIJ..TT.. U99 J99 I98 T98 
4 4 0	FFFEED...RODUAARO.U.BBBJ..IIIJ.TT... U99 J99 I98 T97 
4 4 0	FFFEED...RODUAARO.U.BBBJ..IIIJTT.... U99 J99 I98 T96 
4 4 0	FFFEED...R.DUAAROJUBBBOJ.III......TT U99 O99 B99 I99 
4 4 0	FFFEED...R.DUAAROJUBBBOJ..III.....TT U99 O99 B99 I98 
4 4 0	FFFEED...R.DUAAROJUBBBOJ...III....TT U99 O99 B99 I97 
4 4 0	FFFEED...R.DUAAROJUBBBOJIII......TT. U99 O99 B99 T99 
4 4 0	FFFEED...R.DUAAROJUBBBOJIII.....TT.. U99 O99 B99 T98 
4 4 0	FFFEED...R.DUAAROJUBBBOJIII....TT... U99 O99 B99 T97 
4 4 0	FFFEED...R.DUAAROJUBBBOJIII...TT.... U99 O99 B99 T96 
4 4 0	FFFEED...R.DUAAR.JUBBBOJ.IIIO.....TT U99 O98 B99 I99 
4 4 0	FFFEED...R.DUAAR.JUBBBOJIII.O....TT. U99 O98 B99 T99 
4 4 0	FFFEED...R.DUAAR.JUBBBOJIII.O...TT.. U99 O98 B99 T98 
