7 5 2	...GB....GB.AA.GB...D...E.DCC.E.DFF. D97 G98 B97 C98 F99 
7 4 3	....B...DGB.AADGB...DG..E.CC..E.FF.. D99 G99 B97 C99 
7 4 3	..DGB...DGB.AADGB.E.....ECC.......FF G98 B97 E99 F98 
7 4 3	..DG....DG..AADGB.....B.E.CCB.EFF... G98 B99 C99 F99 
7 5 2	........D...AAD.B.E.DGB.ECCGB..FFG.. D99 G99 B99 E99 F99 
7 4 3	..D.....DG..AADGB....GB.E.CCB.E..FF. G99 B99 C99 F99 
7 4 3	........DG..AADGB...DGB.E.CCB.E.FF.. D99 G99 B99 C99 
7 5 2	...GB....GB.AA.GB...D...E.DCC.E.D.FF D97 G98 B97 C98 F98 
7 4 3	....B...DGB.AADGB.E.DG..ECC.....FF.. D99 G99 B97 E99 
7 4 3	..D.B...DGB.AADGB.E..G..ECC...FF.... G99 B97 E99 F98 
7 4 3	..DG....DG..AADGB.....B.E.CCB.E..FF. G98 B99 C99 F99 
7 4 3	...GB...DGB.AADGB...D...E..CC.E.FF.. D99 G98 B97 C98 
7 4 3	..D.....DGB.AADGB.E..GB.ECC...FF.... G99 B98 E99 F98 
7 4 3	..D.....DG..AADGB.E..GB.ECC.B.FF.... G99 B99 E99 F98 
7 4 3	..DGB...DGB.AADGB.......E...CCEFF... G98 B97 C97 F99 
7 4 3	........DG..AADGB...DGB.ECC.B.E..FF. D99 G99 B99 F99 
7 4 3	........DGB.AADGB...DGB.ECC...E..FF. D99 G99 B98 F99 
7 4 3	..DG....DG..AADGB.E...B.ECC.B....FF. G98 B99 E99 F99 
7 4 3	..DGB...DGB.AADGB.......E..CC.EFF... G98 B97 C98 F99 
7 4 3	...G....DG..AADGB...D.B.ECC.B.E..FF. D99 G98 B99 F99 
7 4 3	..DGB...DGB.AADGB.E.....ECC...FF.... G98 B97 E99 F98 
7 4 3	..D.B...DGB.AADGB.E..G..ECC......FF. G99 B97 E99 F99 
7 4 3	..DG....DGB.AADGB.E...B.ECC...FF.... G98 B98 E99 F98 
7 5 2	..D.B...D.B.AAD.B....G..E..GCCEFFG.. G95 B97 C97 F99 
7 4 3	..DG....DG..AADGB.E...B.ECC.B.FF.... G98 B99 E99 F98 
7 4 3	........D.B.AADGB.E.DGB.ECCG..FF.... D99 B98 E99 F98 
7 5 2	........DG..AADG..E.DGB.E.CCB..FF.B. D99 G99 E99 C99 F99 
7 4 3	........D...AADGB.E.DGB.ECCGB.FF.... D99 B99 E99 F98 
7 4 3	...GB...DGB.AADGB...D...ECC...E...FF D99 G98 B97 F98 
7 4 3	........DGB.AADGB...DGB.E..CC.E.FF.. D99 G99 B98 C98 
7 5 2	...G....DG..AADG..E.D.B.E.CCB.FF..B. D99 G98 E99 C99 F98 
7 5 2	..D.B...D.B.AAD.B.E..G..ECCG..FF.G.. G99 B97 E99 F98 
7 5 2	........DG..AADG..E.DGB.E.CCB.FF..B. D99 G99 E99 C99 F98 
7 4 3	........D...AADGB.E.DGB.ECCGB....FF. D99 B99 E99 F99 
7 4 3	..D.B...DGB.AADGB....G..E..CC.EFF... G99 B97 C98 F99 
7 4 3	..D.B...DGB.AADGB.E..G..E..CC...FF.. G99 B97 E99 C98 
7 4 3	...G....DGB.AADGB...D.B.ECC...E..FF. D99 G98 B98 F99 
7 4 3	....B....GB.AADGB...DG..E.DCC.E.FF.. D98 B97 G99 C98 
7 4 3	....B...DGB.AADGB...DG..E..CC.E.FF.. D99 B97 G99 C98 
7 4 3	..D.B...DGB.AADGB....G..E...CCE..FF. G99 B97 C97 F99 
7 4 3	...GB....GB.AADGB...D...E.DCC.E.FF.. D98 G98 B97 C98 
7 4 3	..D.B...DGB.AADGB.E..G..E...CC..FF.. G99 B97 E99 C97 
7 4 3	..D.B...DGB.AADGB.E..G..E.CC....FF.. G99 B97 E99 C99 
7 4 3	..D.B...DGB.AADGB.E..G..ECC....FF... G99 B97 E99 F99 
7 4 3	..D.B...D.B.AADGB....G..E..GCCE.FF.. G98 B97 C97 
7 4 3	..DG....DG..AADGB.....B.E.CCB.E...FF G98 B99 C99 F98 
7 4 3	..DG....DGB.AADGB.....B.E...CCEFF... G98 B98 C97 F99 
7 4 3	..D.....DGB.AADGB.E..GB.E.CC....FF.. G99 B98 E99 C99 
7 4 3	....B...DGB.AADGB...DG..E...CCE.FF.. D99 B97 G99 C97 
7 4 3	..D.....DG..AADGB.E..GB.ECC.B.....FF G99 B99 E99 F98 
7 4 3	........D...AADGB.E.DGB.ECCGB.....FF D99 B99 E99 F98 
7 4 3	..DG....DGB.AADGB.....B.E..CC.E...FF G98 B98 C98 F98 
