15 7 8	..D.II..DLLOAABCPOJ.BCPOJ.FFF..SSSGG I99 C99 L99 O99 P99 F99 S99 
15 9 6	J.DII.J.DLLO.AACPO..BCPO..BFFF.SSSGG C99 L99 A99 B99 O99 J97 P99 F98 S99 
15 7 8	..D.II..DLLOAABCPOJ.BCPOJ.FFF.SSSGG. I99 C99 L99 O99 P99 F99 G99 
15 7 8	...II...DLLOAADCPOJ.BCPOJ.BFFFSSS.GG D99 L99 O99 C99 P99 B99 F98 
15 9 6	..DII...DLLOJAACPOJ.BCPO..BFFFSSSGG. C99 L99 A99 B99 O99 J99 P99 F98 G99 
15 8 7	..D.II..DLL.AABCPOJ.BCPOJ.FFFOSSSGG. I99 C99 L99 O98 P99 F99 G99 
16 8 8	..D.II..DLLOAABCPO..BCPOJ..FFFJSSSGG I99 C99 L99 O99 J99 P99 F98 S99 
16 10 6	J.D.IIJ.DLLO.AACPO..BCPO..BFFFSSSGG. I99 C99 L99 A99 B99 O99 J97 P99 F98 G99 
16 10 6	J.D.IIJ.DLLO.AACPO..BCPO..BFFF.SSSGG I99 C99 L99 A99 B99 O99 J97 P99 F98 S99 
16 8 8	II...O..DLLOAADCPOJ.BCP.J.BFFFSSS.GG I97 O98 D99 L99 C99 P99 B99 F98 
15 9 6	IID..O..DLLOAA.CPOJ.BCP.J.BFFFSSS.GG I97 O98 D98 L99 C99 P99 B99 F98 
16 8 8	..II....DLLOAADCPOJ.BCPOJ.BFFFSSS.GG I99 D99 L99 O99 C99 P99 B99 F98 
16 10 6	..D.IIJ.DLLOJAACPO..BCPO..BFFFSSSGG. I99 C99 L99 A99 B99 O99 J98 P99 F98 G99 
16 10 6	..D.II..DLLOJAACPOJ.BCPO..BFFF.SSSGG I99 C99 L99 A99 B99 O99 J99 P99 F98 S99 
16 10 6	..D.IIJ.DLLOJAACPO..BCPO..BFFF.SSSGG I99 C99 L99 A99 B99 O99 J98 P99 F98 S99 
16 10 6	IID..O..DLLOAA.CPOJ.BCP.J.BFFFSSSGG. I97 O98 D98 L99 C99 P99 B99 F98 G99 
16 10 6	J.D.IIJ.DLLOAA.CPO..BCPO..BFFFSSS.GG I99 C99 L99 A98 B99 O99 J97 P99 F98 
16 10 6	J.DIIOJ.DLLOAA.CPO..BCP...BFFF.SSSGG C99 L99 A98 B99 O98 J97 P99 F98 S99 
16 10 6	..D.II..DLLOJAACPOJ.BCPO..BFFFSSSGG. I99 C99 L99 A99 B99 O99 J99 P99 F98 G99 
16 10 6	J.DIIOJ.DLLOAA.CPO..BCP...BFFFSSSGG. C99 L99 A98 B99 O98 J97 P99 F98 G99 
16 10 6	J.DII.J.DLLOAA.CPO..BCPO..BFFFSSS.GG C99 L99 A98 B99 O97 J97 P99 F98 
16 8 8	.II.....DLLOAADCPOJ.BCPOJ.BFFFSSS.GG I98 D99 L99 O99 C99 P99 B99 F98 
16 8 8	....II..DLLOAADCPOJ.BCPOJ.BFFFSSS.GG D99 I99 L99 O99 C99 P99 B99 F98 
16 8 8	..D.II..DLLOAABCPOJ.BCPOJ.FFF.SSSGG. I99 C99 L99 O97 P99 F99 G99 
16 8 8	II......DLLOAADCPOJ.BCPOJ.BFFFSSS.GG I97 D99 L99 O99 C99 P99 B99 F98 
15 9 6	IID.....DLLOAA.CPOJ.BCPOJ.BFFFSSS.GG I97 D98 L99 O99 C99 P99 B99 F98 
16 8 8	...IIO..DLLOAADCPOJ.BCP.J.BFFF.SSSGG D99 O98 L99 C99 P99 B99 F98 S99 
16 8 8	...II...DLLOAADCPOJ.BCPOJ.BFFFSSSGG. D99 L99 O99 C99 P99 B99 F98 G99 
16 10 6	IID.....DLLOAA.CPOJ.BCPOJ.BFFF.SSSGG I97 D98 L99 O99 C99 P99 B99 F98 S99 
16 10 6	IID.....DLLOAA.CPOJ.BCPOJ.BFFFSSSGG. I97 D98 L99 O99 C99 P99 B99 F98 G99 
16 10 6	IID.....DLLO.AACPOJ.BCPOJ.BFFFSSS.GG I97 D98 L99 O99 A99 C99 P99 B99 F98 
16 8 8	.II..O..DLLOAADCPOJ.BCP.J.BFFFSSS.GG I98 O98 D99 L99 C99 P99 B99 F98 
16 10 6	J.DII.J.DLLOAA.CPO..BCPO..BFFF.SSSGG C99 L99 A98 B99 O99 J97 P99 F98 S99 
16 10 6	IID..O..DLLOAA.CPOJ.BCP.J.BFFF.SSSGG I97 O98 D98 L99 C99 P99 B99 F98 S99 
16 8 8	..D.II..DLLOAABCPO..BCPOJ.FFF.JSSSGG I99 C99 L99 O99 J99 P99 F99 S99 
16 10 6	IID..O..DLLO.AACPOJ.BCP.J.BFFFSSS.GG I97 O98 D98 L99 A99 C99 P99 B99 F98 
16 10 6	J.DII.J.DLLOAA.CPO..BCPO..BFFFSSSGG. C99 L99 A98 B99 O99 J97 P99 F98 G99 
16 8 8	...IIO..DLLOAADCPOJ.BCP.J.BFFFSSSGG. D99 O98 L99 C99 P99 B99 F98 G99 
16 10 6	IID.....DLLOAA.CPOJ.BCPOJ.BFFFSSS.GG I97 O97 D98 L99 C99 P99 B99 F98 
16 8 8	...II...DLLOAADCPOJ.BCPOJ.BFFF.SSSGG D99 L99 O99 C99 P99 B99 F98 S99 
