9 0 9	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
20 11 9	HJJJPSHFF.PSAAN.PUBINDLUBINDLOGG.D.O J99 F97 H98 A99 D99 N99 B99 I99 G97 
20 8 12	HJJJPSHFF.PSAANDPU.IND.UBINDLOBGG.LO J99 F99 H98 A99 N99 L99 I99 G98 
20 8 12	HJJJ.SHFF.PSAANDPU..NDPUBINDLOBIGGLO J99 P99 F99 H98 A99 N99 L99 G99 
20 8 12	HJJJPSHFFDPSAANDPU.INDLUBIN.LOBGG..O J99 F99 H98 A99 D99 N99 I99 G98 
20 14 6	.JJJPSHFF.PSHAA.PUBINDLUBINDLOGGND.O H97 J99 F97 A98 B99 I99 N98 D99 G97 
20 14 6	HJJJPSHIFFPS.IAAPUB.ND.UB.NDLOGGNDLO J99 F98 H98 A97 D99 N98 L99 B99 I97 G97 
20 8 12	HJJJPSH.FFPSAANDPUBINDLUBINDLOGG...O J99 F98 H98 A99 N99 B99 I99 G97 
20 8 12	HJJJPSHFFDPSAANDPU..ND.UBIN.LOBIGGLO J99 F99 H98 A99 D99 N99 L99 G99 
20 11 9	HJJJPSHFF.PSAAN.PUBIND.UBINDLO.GGDLO J99 F97 H98 A99 D99 N99 L99 B99 I99 G98 
20 8 12	HJJJPSHFF.PSAANDPUB.ND.UBINDLO.IGGLO J99 F99 H98 A99 N99 L99 B99 G99 
20 14 6	JJJ.PSH.FFPSH.AAPUBINDLUBINDLOGGND.O J98 H97 F98 A97 B99 I99 N98 D99 G97 
20 14 6	HJJJPSHFF.PSB.AAPUBINDLU.INDLOGGND.O J99 F97 H98 A97 D99 N98 B98 I99 G97 
20 14 6	.JJJPSHFF.PSH.AAPUBINDLUBINDLOGGND.O H97 J99 F97 A97 B99 I99 N98 D99 G97 
20 8 12	HJJJPSHFF.PSAANDPUBINDLUBINDLOGG...O J99 F99 H98 A99 N99 B99 I99 G97 
18 9 9	HJJJPSHFF.PSAA.DPUBINDLUBINDLOGGN..O J99 F99 H98 A99 N98 B99 I99 G97 
19 10 9	HJJJPSHFF.PSAA.DPUBIND.UBINDLOGGN.LO J99 F99 H98 A99 N98 L99 B99 I99 G97 
20 11 9	HJJJPSHFF.PS.AADPUBIND.UBINDLOGGN.LO J99 F99 H98 A98 N98 L99 B99 I99 G97 
21 15 6	JJJ.PSH.FFPSH.AAPUBIND.UBINDLOGGNDLO J98 H97 F98 A97 B99 I99 N98 D99 L99 G97 
