6 5 1	C.HHDYCF..DYCFAA.E..RI.E..RITTBB.... H99 F99 D98 R99 I99 
6 4 2	.HH..Y.....YCFAADECFRIDEC.RITT...BB. C98 I99 R99 B97 
6 4 2	CHH..YCF...YCFAADE..RIDE..RITT.BB... F99 R99 I99 B99 
6 5 1	..HHDYC...DYCF.AAECF.I.E..RITTBBR... C99 H99 D98 A99 I99 
6 5 1	..HHDYCF..DYCFAA.EC.R..E..RITTBB.I.. C99 H99 D98 F99 R99 
6 5 1	.FHHDYCF..DYC.AA.EC..I.E..RITTBBR... C99 H99 D98 F98 I99 
6 5 1	..HHDYCF..DYCFAA.EC..I.E..RITTBBR... C99 H99 D98 F99 I99 
6 4 2	CHH..YC....YCFAADE.FR.DE..RITT...IBB R99 I98 B96 
6 5 1	..HHDYC...DYC.AA.ECF.I.E.FRITTBBR... C99 H99 D98 F99 I99 
6 4 2	HH...YC...DYCFAADECF.I.E..RITTBBR... H99 C99 D99 I99 
6 4 2	HH...YC....YCFAADECFR.DE..RITT.BBI.. H99 C99 R99 B99 
6 4 2	.HH..Y.....Y.FAADECFRIDEC.RITTC.BB.. C97 R99 I99 B98 
6 4 2	CHH..YC...DYC.AADE.FR..E.FRITT.BBI.. F99 D99 R99 B99 
6 5 1	CHH.DYC...DYCF.AAE.FRI.E..RITT...BB. A99 D98 R99 I99 B97 
