7 4 3	.HH..YCF..DYCFAADEC..I.E..RITTBBR.PP C99 F99 D99 I99 
7 3 4	...HHY.....YCFAADECFR.DEC.RITTBB.IPP C98 H98 R99 
7 5 2	CFHHDYCF..DYC.AA.E...I.E..RITTBBRPP. H99 F98 D98 I99 P99 
7 4 3	.HH..Y....DYCFAADECF.I.EC.RITTBBRPP. C98 D99 I99 P99 
7 5 2	CHH.DYC...DYC.AA.E..RI.E.FRITT.FBBPP F98 D98 R99 I99 B98 
7 5 2	CHH.DYC...DYC.AA.E.FRI.E.FRITT..BBPP F99 D98 R99 I99 B98 
7 3 4	.HH..Y.....YCFAADECFR.DEC.RITT.BBIPP C98 R99 B99 
6 4 2	.HH.DY....DYCFAA.ECFR..EC.RITT.BBIPP C98 D98 R99 B99 
7 5 2	.HH.DYCF..DYCFAA.EC.R..E..RITTBB.IPP C97 D98 F99 R99 
7 3 4	CHH..YC....YCAA.DE.FR.DE.FRITTBB.IPP F99 A99 R99 
7 5 2	..HHDYC...DYCFAA.ECF.I.E..RITTBBRPP. C99 H99 D98 I99 P99 
7 3 4	.HH..YC....YC.AADECF.IDE.FRITTBBR.PP C99 F99 I99 
7 4 3	..HH.YC...DYC.AADECF...E.FRITTBBRIPP C99 H99 D99 F99 
7 5 2	C.HHDYCF..DYCF.AAE...I.E..RITTBBR.PP H99 F99 A99 D98 I99 
7 5 2	.HH.DY....DY.FAA.ECFR..EC.RITTCBBIPP C97 D98 R99 B99 
7 5 2	.HH.DYC...DYCFAA.ECFR..E..RITT.BBIPP C97 D98 R99 B99 
7 5 2	HH..DY....DYCFAA.ECFR..EC.RITT.BBIPP H99 D98 C98 R99 B99 
7 5 2	HH..DYCF..DYCFAA.EC.R..E..RITTBB.IPP H99 D98 C99 F99 R99 
7 4 3	CHH..YC...DYCFAADE.FRI.E..RITT..BBPP D99 R99 I99 B98 
7 4 3	CHH..YC...DYCFAADE.FRI.E..RITT.BB.PP D99 R99 I99 B99 
7 4 3	..HH.Y....DYC.AADECF...ECFRITTBBRIPP C98 H99 D99 F99 
7 4 3	C.HH.YCF..DYCFAADE...I.E..RITTBBR.PP H99 F99 D99 I99 
7 3 4	C.HH.YC....YCFAADE.F.IDE..RITTBBRPP. H99 I99 P99 
6 4 2	C.HHDYC...DYCFAA.E.F.I.E..RITTBBRPP. H99 D98 I99 P99 
7 4 3	.HH..YC...DYCFAADECFRI.E..RITTBB..PP C99 D99 R99 I99 
