3 3 0	YOOTT.YIIIPFMAA.PFMCCDD...UUUL.KKEEL Y99 M99 U99 
3 3 0	YOOTT.YIIIPFMAA.PFMCCDDL.UUU.L.KKEE. Y99 M99 L99 
3 3 0	YOOTT.YIIIPFMAA.PFMCCDD..UUU.LKK.EEL Y99 M99 K99 
3 3 0	YOOTT.YIIIPF.AA.PFM.CCDDMUUU.L.KKEEL Y99 C99 D99 
3 3 0	YOOTT.YIIIPF.AA.PFMCC.DDM.UUUL.KKEEL Y99 D99 U99 
3 3 0	YOOTT.YIIIPF.AA.PFMCC.DDMUUU.LKK.EEL Y99 D99 K99 
3 3 0	YOOTT.YIIIPF.AA.PFMCCDDLM.UUUL.KKEE. Y99 U99 L99 
3 3 0	YOOTT.YIIIPF.AA.PFMCCDD.M.UUULKK.EEL Y99 U99 K99 
3 3 0	YOOTT.YIIIPF.AA.PFMCCDDLMUUU.LKK.EE. Y99 L99 K99 
3 3 0	YOOTT.YIIIPF.AA.PFMCCDDLMUUU.L.KK.EE Y99 L99 E99 
3 3 0	YOOTT.YIIIPF.AA.PFMCCDD.MUUU.LKKEE.L Y99 K99 E99 
3 3 0	.OOTT.YIIIP.Y.AAPF.CCDDFMUUU.LMKKEEL F99 A99 M99 
3 3 0	.OOTT.YIIIP.Y.AAPFMCCDDFM.UUUL.KKEEL F99 A99 U99 
3 3 0	.OOTT.YIIIP.Y.AAPFMCCDDFMUUU.LKK.EEL F99 A99 K99 
3 3 0	.OOTT..IIIP.YAA.PFYCCDDFMUUU.LMKKEEL Y99 F99 M99 
3 3 0	.OOTT.YIIIP.YAA.PFCC.DDFMUUU.LMKKEEL F99 M99 C99 
3 3 0	.OOTT.YIIIP.YAA.PF.CCDDFM.UUULMKKEEL F99 M99 U99 
3 3 0	.OOTT.YIIIP.YAA.PFMCCDDFM.UUULKK.EEL F99 U99 K99 
3 3 0	.OOTT.YIIIP.YAA.PFMCCDDFMUUU.LKKEE.L F99 K99 E99 
3 3 0	.OOTTFYIIIPFY.AAP..CCDD.MUUU.LMKKEEL F99 A99 M99 
3 3 0	.OOTTFYIIIPFY.AAP.MCC.DDMUUU.L.KKEEL F99 A99 D99 
3 3 0	.OOTTFYIIIPFY.AAP.MCCDD.M.UUUL.KKEEL F99 A99 U99 
3 3 0	.OOTTFYIIIPFY.AAP.MCCDDLMUUU.L.KKEE. F99 A99 L99 
3 3 0	.OOTTFYIIIPFY.AAPLMCCDDLMUUU...KKEE. F99 A99 L98 
3 3 0	.OOTTFYIIIPFY.AAP.MCCDD.MUUU.LKK.EEL F99 A99 K99 
3 3 0	.OOTTF.IIIPFYAA.P.YCCDD.MUUU.LMKKEEL Y99 F99 M99 
3 3 0	.OOTTFYIIIPFYAA.P.CC.DD.MUUU.LMKKEEL F99 M99 C99 
3 3 0	.OOTTFYIIIPFYAA.P..CC.DDMUUU.LMKKEEL F99 M99 D99 
3 3 0	.OOTTFYIIIPFYAA.P..CCDD.M.UUULMKKEEL F99 M99 U99 
3 3 0	.OOTTFYIIIPFYAA.P..CCDDLMUUU.LMKKEE. F99 M99 L99 
3 3 0	.OOTTFYIIIPFYAA.PL.CCDDLMUUU..MKKEE. F99 M99 L98 
3 3 0	.OOTTFYIIIPFYAA.P.M.CCDDMUUU.L.KKEEL F99 C99 D99 
3 3 0	.OOTTFYIIIPFYAA.P.MCC.DDM.UUUL.KKEEL F99 D99 U99 
3 3 0	.OOTTFYIIIPFYAA.P.MCC.DDMUUU.LKK.EEL F99 D99 K99 
3 3 0	.OOTTFYIIIPFYAA.P.MCCDDLM.UUUL.KKEE. F99 U99 L99 
3 3 0	.OOTTFYIIIPFYAA.PLMCCDDLM.UUU..KKEE. F99 U99 L98 
3 3 0	.OOTTFYIIIPFYAA.P.MCCDD.M.UUULKK.EEL F99 U99 K99 
3 3 0	.OOTTFYIIIPFYAA.P.MCCDDLMUUU.LKK.EE. F99 L99 K99 
3 3 0	.OOTTFYIIIPFYAA.P.MCCDDLMUUU.L.KK.EE F99 L99 E99 
3 3 0	.OOTTFYIIIPFYAA.PLMCCDDLM..UUU.KKEE. F99 U98 L98 
3 3 0	.OOTTFYIIIPFYAA.PLMCCDDLMUUU..KK.EE. F99 L98 K99 
3 3 0	.OOTTFYIIIPFYAA.PLMCCDDLMUUU...KK.EE F99 L98 E99 
3 3 0	.OOTTFYIIIPFYAA.P.MCCDD.MUUU.LKKEE.L F99 K99 E99 
3 3 0	.OOTT..IIIPFY.AAPFYCCDD.MUUU.LMKKEEL Y99 A99 M99 
3 3 0	.OOTT.YIIIPFY.AAPFCC.DD.MUUU.LMKKEEL A99 M99 C99 
3 3 0	.OOTT.YIIIPFY.AAPF.CC.DDMUUU.LMKKEEL A99 M99 D99 
3 3 0	.OOTT.YIIIPFY.AAPF.CCDD.M.UUULMKKEEL A99 M99 U99 
3 3 0	.OOTT.YIIIPFY.AAPF.CCDDLMUUU.LMKKEE. A99 M99 L99 
3 3 0	.OOTT.YIIIPFY.AAPFM.CCDDMUUU.L.KKEEL A99 C99 D99 
3 3 0	.OOTT.YIIIPFY.AAPFMCC.DDM.UUUL.KKEEL A99 D99 U99 
3 3 0	.OOTT.YIIIPFY.AAPFMCC.DDMUUU.LKK.EEL A99 D99 K99 
3 3 0	.OOTT.YIIIPFY.AAPFMCCDDLM.UUUL.KKEE. A99 U99 L99 
3 3 0	.OOTT.YIIIPFY.AAPFMCCDD.M.UUULKK.EEL A99 U99 K99 
3 3 0	.OOTT.YIIIPFY.AAPFMCCDDLMUUU.LKK.EE. A99 L99 K99 
3 3 0	.OOTT.YIIIPFY.AAPFMCCDDLMUUU.L.KK.EE A99 L99 E99 
3 3 0	.OOTT.YIIIPFY.AAPFMCCDD.MUUU.LKKEE.L A99 K99 E99 
3 3 0	.OOTT.III.PFYAA.PFYCCDD.MUUU.LMKKEEL Y99 I99 M99 
3 3 0	.OOTT..IIIPFYAA.PFYCC.DDMUUU.LMKKEEL Y99 M99 D99 
3 3 0	.OOTT..IIIPFYAA.PFYCCDD.M.UUULMKKEEL Y99 M99 U99 
3 3 0	.OOTT..IIIPFYAA.PFYCCDDLMUUU.LMKKEE. Y99 M99 L99 
3 3 0	.OOTT.YIIIPFYAA.PFCCDD..MUUU.LMKKEEL M99 C99 D99 
3 3 0	.OOTT.YIIIPFYAA.PFCC..DDMUUU.LMKKEEL M99 C99 D99 
3 3 0	.OOTT.YIIIPFYAA.PFCC.DD.M.UUULMKKEEL M99 C99 U99 
3 3 0	.OOTT.YIIIPFYAA.PFCC.DDLMUUU.LMKKEE. M99 C99 L99 
3 3 0	.OOTT.YIIIPFYAA.PF..CCDDMUUU.LMKKEEL M99 C99 D99 
3 3 0	.OOTT.YIIIPFYAA.PF.CC.DDM.UUULMKKEEL M99 D99 U99 
3 3 0	.OOTT.YIIIPFYAA.PF.CCDDLM.UUULMKKEE. M99 U99 L99 
3 3 0	.OOTT.YIIIPFYAA.PF.CCDDLMUUU.LMKK.EE M99 L99 E99 
3 3 0	.OOTT.YIIIPFYAA.PFM.CCDDM.UUUL.KKEEL C99 D99 U99 
3 3 0	.OOTT.YIIIPFYAA.PFM.CCDDMUUU.LKK.EEL C99 D99 K99 
3 3 0	.OOTT.YIIIPFYAA.PFMCC.DDM.UUULKK.EEL D99 U99 K99 
3 3 0	.OOTT.YIIIPFYAA.PFMCC.DDMUUU.LKKEE.L D99 K99 E99 
3 3 0	.OOTT.YIIIPFYAA.PFMCCDDLM.UUULKK.EE. U99 L99 K99 
3 3 0	.OOTT.YIIIPFYAA.PFMCCDDLM.UUUL.KK.EE U99 L99 E99 
3 3 0	.OOTT.YIIIPFYAA.PFMCCDD.M.UUULKKEE.L U99 K99 E99 
3 3 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.LKKEE.. L99 K99 E99 
3 3 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.LKK..EE L99 K99 E99 
3 3 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.L..KKEE L99 K99 E99 
4 4 0	OOTTP.YIIIP.YAA..FMCCDDFMUUU.L.KKEEL O99 T99 P99 F99 
4 4 0	OOTTPFYIIIPFYAA...MCCDD.MUUU.L.KKEEL O99 T99 P99 F99 
4 4 0	OOTTP.YIIIPFY.AA.FMCCDD.MUUU.L.KKEEL O99 T99 P99 A99 
4 4 0	OOTTP.YIIIPFY..AAFMCCDD.MUUU.L.KKEEL O99 T99 P99 A98 
4 4 0	OOTTP.YIIIPFYAA..F.CCDD.MUUU.LMKKEEL O99 T99 P99 M99 
4 4 0	OOTTP.YIIIPFYAA..FMCC.DDMUUU.L.KKEEL O99 T99 P99 D99 
4 4 0	OOTTP.YIIIPFYAA..FMCCDD.M.UUUL.KKEEL O99 T99 P99 U99 
4 4 0	OOTTP.YIIIPFYAA..FMCCDDLMUUU.L.KKEE. O99 T99 P99 L99 
4 4 0	OOTTP.YIIIPFYAA..FMCCDD.MUUU.LKK.EEL O99 T99 P99 K99 
4 4 0	OOTT..YIIIP.Y.AAPFMCCDDFMUUU.L.KKEEL O99 T99 F99 A99 
