0 0 0	Z...C.Z...C.Z.AAC.EEEB..Y..BDDY..... 
5 5 0	Z...C.Z..BC.ZAABC.Y..EEEY..DD....... A99 E97 B98 Y99 D99 
5 5 0	Z...C.Z..BC.ZAABC.Y..EEEY.DD........ A99 E97 B98 Y99 D98 
5 5 0	Z...C.Z..BC.ZAABC.Y..EEEYDD......... A99 E97 B98 Y99 D97 
5 5 0	...BC.Z..BC.Z.AAC.ZEEE..Y...DDY..... Z99 B97 A98 E99 
5 5 0	Z..BC.Z..BC.Z.AAC.YEEE..Y...DD...... A98 E99 B97 Y99 
5 5 0	Z..BC.Z..BC.Z.AAC..EEE..Y..DD.Y..... A98 E99 B97 D99 
5 5 0	Z..BC.Z..BC.Z.AAC..EEE..Y.DD..Y..... A98 E99 B97 D98 
5 5 0	Z..BC.Z..BC.Z.AAC..EEE..YDD...Y..... A98 E99 B97 D97 
5 5 0	...BC.Z..BC.Z.AAC.Z.EEE.Y...DDY..... Z99 B97 A98 E98 
5 5 0	Z..BC.Z..BC.Z.AAC.Y.EEE.Y...DD...... A98 E98 B97 Y99 
5 5 0	Z..BC.Z..BC.Z.AAC...EEE.Y..DD.Y..... A98 E98 B97 D99 
5 5 0	Z..BC.Z..BC.Z.AAC...EEE.Y.DD..Y..... A98 E98 B97 D98 
5 5 0	Z..BC.Z..BC.Z.AAC...EEE.YDD...Y..... A98 E98 B97 D97 
5 5 0	...BC.Z..BC.Z.AAC.Z..EEEY...DDY..... Z99 B97 A98 E97 
5 5 0	Z..BC.Z..BC.Z.AAC.Y..EEEY...DD...... A98 E97 B97 Y99 
5 5 0	Z..BC.Z..BC.Z.AAC....EEEY..DD.Y..... A98 E97 B97 D99 
5 5 0	Z..BC.Z..BC.Z.AAC....EEEY.DD..Y..... A98 E97 B97 D98 
5 5 0	Z..BC.Z..BC.Z.AAC....EEEYDD...Y..... A98 E97 B97 D97 
5 5 0	Z..B..Z..B..Z.AAC.EEE.C.Y.DDC.Y..... C98 A98 B97 D98 
5 5 0	Z..B..Z..B..Z.AA..EEE.C.Y.DDC.Y...C. C97 A98 B97 D98 
5 5 0	Z..B..Z..B..Z.AAC.EEE.C.YDD.C.Y..... C98 A98 B97 D97 
5 5 0	Z..B..Z..B..Z.AA..EEE.C.YDD.C.Y...C. C97 A98 B97 D97 
5 5 0	...BC.Z..BC.ZAA.C.ZEEE..Y..DD.Y..... Z99 B97 A99 E99 D99 
5 5 0	...BC.Z..BC.ZAA.C.ZEEE..Y.DD..Y..... Z99 B97 A99 E99 D98 
5 5 0	...BC.Z..BC.ZAA.C.ZEEE..YDD...Y..... Z99 B97 A99 E99 D97 
5 5 0	Z..BC.Z..BC.ZAA.C.YEEE..Y..DD....... A99 E99 B97 Y99 D99 
5 5 0	Z..BC.Z..BC.ZAA.C.YEEE..Y.DD........ A99 E99 B97 Y99 D98 
5 5 0	Z..BC.Z..BC.ZAA.C.YEEE..YDD......... A99 E99 B97 Y99 D97 
5 5 0	Z..B..Z..B..ZAA.C..EEEC.Y.DDC.Y..... C98 A99 E99 B97 D98 
5 5 0	Z..B..Z..B..ZAA....EEEC.Y.DDC.Y...C. C97 A99 E99 B97 D98 
5 5 0	Z..B..Z..B..ZAA.C..EEEC.YDD.C.Y..... C98 A99 E99 B97 D97 
5 5 0	Z..B..Z..B..ZAA....EEEC.YDD.C.Y...C. C97 A99 E99 B97 D97 
5 5 0	...BC.Z..BC.ZAA.C.Z.EEE.Y..DD.Y..... Z99 B97 A99 E98 D99 
5 5 0	...BC.Z..BC.ZAA.C.Z.EEE.Y.DD..Y..... Z99 B97 A99 E98 D98 
5 5 0	...BC.Z..BC.ZAA.C.Z.EEE.YDD...Y..... Z99 B97 A99 E98 D97 
5 5 0	Z..BC.Z..BC.ZAA.C.Y.EEE.Y..DD....... A99 E98 B97 Y99 D99 
5 5 0	Z..BC.Z..BC.ZAA.C.Y.EEE.Y.DD........ A99 E98 B97 Y99 D98 
5 5 0	Z..BC.Z..BC.ZAA.C.Y.EEE.YDD......... A99 E98 B97 Y99 D97 
5 5 0	...BC.Z..BC.ZAA.C.Z..EEEY..DD.Y..... Z99 B97 A99 E97 D99 
5 5 0	...BC.Z..BC.ZAA.C.Z..EEEY.DD..Y..... Z99 B97 A99 E97 D98 
5 5 0	...BC.Z..BC.ZAA.C.Z..EEEYDD...Y..... Z99 B97 A99 E97 D97 
5 5 0	Z..BC.Z..BC.ZAA.C.Y..EEEY..DD....... A99 E97 B97 Y99 D99 
5 5 0	Z..BC.Z..BC.ZAA.C.Y..EEEY.DD........ A99 E97 B97 Y99 D98 
5 5 0	Z..BC.Z..BC.ZAA.C.Y..EEEYDD......... A99 E97 B97 Y99 D97 
5 5 0	Z..B..Z..B..Z..AA.EEE.C.Y.DDC.Y...C. C97 A97 B97 D98 
5 5 0	Z..B..Z..B..Z...AAEEE.C.Y.DDC.Y...C. C97 A96 B97 D98 
