13 7 6	....B....GB..AAGB...DG..E.DCC.E.D.FF G97 B97 A99 D97 C98 F98 
13 4 9	..DG....DGB.AADGB.E...B.ECC......FF. G98 B98 E99 F99 
13 4 9	..D.B...DGB.AADGB....G..E...CCE...FF G99 B97 C97 F98 
13 4 9	..DGB...DGB.AADGB.......E...CCEFF... G98 B97 C97 F99 
13 4 9	..D.B...DGB.AADGB.E..G..E...CC..FF.. G99 B97 E99 C97 
13 4 9	..DGB...DGB.AADGB.......E...CCE..FF. G98 B97 C97 F99 
13 4 9	..DGB...DGB.AADGB.......E..CC.E..FF. G98 B97 C98 F99 
13 4 9	..DGB...DGB.AADGB.E.....E..CC...FF.. G98 B97 E99 C98 
13 10 3	......E...B.E.AAB...DGB...DGCCFFDG.. D97 B98 A98 E97 G97 C97 F98 
13 4 9	..DGB...DGB.AADGB.......E...CCE...FF G98 B97 C97 F98 
13 10 3	..........B.E.AAB.E.DGB...DGCCFFDG.. D97 B98 A98 E98 G97 C97 F98 
