11 5 6	YIGC.LYIGC.L.AACD.....D.E...D.EOOPPP L99 A98 E99 G97 
11 5 6	YIG..LYIG.DLAA.CD.E..CD.E..C...OOPPP C98 L99 A99 D99 G97 
11 5 6	YIG..LYIGCDLAA.CD.E..CD.E......OOPPP C99 L99 A99 D99 G97 
11 5 6	YIG.DLYIG.DLAA.CD.E..C..E..C...OOPPP C98 L99 A99 D98 G97 
11 5 6	.I...LYI...LYAACD.E..CD.E.GCD.OOGPPP Y99 L99 C98 G99 O99 
11 5 6	YIG..LYIG..LAA.CD....CD.E..CD.EOOPPP C98 L99 A99 E99 G97 
11 2 9	YI....YI.C.LAA.CDLE.GCD.E.G.D..OOPPP C99 A99 
11 5 6	.I..D.YI..D.YAACD...GC.LE.GC.LEOOPPP Y99 D98 C98 L98 E99 
11 5 6	YI....YI..D..AACD...GCDLE.GC.LEOOPPP C98 L98 D97 E99 
11 5 6	YIG...YIG...AA.CD....CDLE..CDLEOOPPP C98 L98 A99 E99 G97 
11 5 6	.I..DLYI.CDLYAACD.E.GC..E.G...OO.PPP Y99 C99 L99 D98 O99 
11 5 6	YIGC..YIGCD.AA.CD.....DLE....LEOOPPP L98 A99 D99 E99 G97 
11 5 6	YI.C..YI.CD..AACD.E.G.D.E.G..LOOPPPL L95 D99 O99 P99 
11 5 6	YI.C..YI.C..EAACD.E.G.D...G.DLOOPPPL L95 E99 O99 P99 
11 5 6	YI....YI..D.AA.CD...GCDLE.GC.LEOOPPP C98 L98 A99 D99 E99 
11 5 6	YI....YI.CD.AA.CD...GCDLE.G..LEOOPPP C99 L98 A99 D99 E99 
11 5 6	YI.CD.YI.CD..AACD.E.G...E.G..LOOPPPL L95 D98 O99 P99 
11 5 6	YIGC.LYIGC.LAA.CD.E...D.E...D.OOPPP. L99 A99 G97 O99 P99 
11 5 6	YI....YI.C...AACD.E.GCD.E.G.DLOOPPPL C99 L95 O99 P99 
11 5 6	YI....YI.....AACD.E.GCD.E.GCDLOOPPPL C98 L95 O99 P99 
11 2 9	YI....YI.C.LEAACDLE.GCD...G.D..OOPPP C99 E99 
11 5 6	YI.C.LYI.CDLEAACD.E...D...G...OOGPPP L99 D99 E99 G99 O99 
11 5 6	YI...LYI.C.LAA.CD.E.GCD.E.G.D.OOPPP. C99 L99 A99 O99 P99 
11 5 6	YIG..LYIGC.LAA.CD....CD.E...D.EOOPPP C99 L99 A99 E99 G97 
