6 0 6	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
16 11 5	HJJJPSH...PSBAADPUBIND.U.INDLOGGN.LO J99 H98 A98 N98 L99 B98 I99 G97 
16 8 8	HJJJPSH..DPSAANDPUB.ND.UBIN.LO.IGGLO J99 H98 A99 D99 N99 L99 B99 G99 
16 12 4	H.JJJSH...PSAA..PUBINDPUBINDLOGGNDLO J98 P99 H98 A99 D99 N98 L99 B99 I99 G97 
16 9 7	H.JJJSH...PSAANDPU.INDPUBINDLOBGG.LO J98 P99 H98 A99 N99 L99 I99 G98 
16 11 5	H.JJJSH...PSAA.DPUBINDPUBINDLOGGN.LO J98 P99 H98 A99 N98 L99 B99 I99 G97 
16 12 4	HJJJPSH...PSBAA.PUBIND.U.INDLOGGNDLO J99 H98 A98 D99 N98 L99 B98 I99 G97 
16 8 8	HJJJ.SH...PSAANDPU.INDPUBINDLOB.GGLO J99 P99 H98 A99 N99 L99 I99 G99 
16 12 4	HJJJ.SH...PS.AA.PUBINDPUBINDLOGGNDLO J99 P99 H98 A98 D99 N98 L99 B99 I99 G97 
16 12 4	.JJJPSH...PSHAA.PUBIND.UBINDLOGGNDLO H97 J99 A98 B99 I99 N98 D99 L99 G97 
16 9 7	HJJJPSH.N.PSAANDPUBIND.UBI.DLO.GG.LO J99 H98 A99 N98 L99 B99 I99 G98 
16 9 7	HJJJ.SH...PSAANDPUBINDPUBINDLO.GG.LO J99 P99 H98 A99 N99 L99 B99 I99 G98 
16 8 8	HJJJPSH.NDPSAANDPUBINDLUBI..LO.GG..O J99 H98 A99 D99 N98 B99 I99 G98 
16 10 6	HJJJPSH.N.PSAAN.PUBIND.UBI.DLO.GGDLO J99 H98 A99 D99 N98 L99 B99 I99 G98 
16 8 8	HJJJPSH.NDPSAANDPUBINDLUBI..LO..GG.O J99 H98 A99 D99 N98 B99 I99 G99 
16 8 8	HJJJPSH.NDPSAANDPUB.ND.UBI..LO.IGGLO J99 H98 A99 D99 N98 L99 B99 G99 
16 12 4	HJJJPSHI..PS.IAAPUB.ND.UB.NDLOGGNDLO J99 H98 A97 D99 N98 L99 B99 I97 G97 
16 12 4	HJJJPSH...PSB.AAPUBIND.U.INDLOGGNDLO J99 H98 A97 D99 N98 L99 B98 I99 G97 
16 12 4	HJJJPSH...PS.IAAPUBIND.UB.NDLOGGNDLO J99 H98 A97 D99 N98 L99 B99 I98 G97 
16 8 8	HJJJ.SH...PSAANDPUB.NDPUBINDLO.IGGLO J99 P99 H98 A99 N99 L99 B99 G99 
16 11 5	.JJJPSH...PSHAADPUBIND.UBINDLOGGN.LO H97 J99 A98 B99 I99 N98 L99 G97 
