6 6 0	..YY..GGGB..FAABSTF..CSTF..CPPDD.C.. Y98 B99 F99 S99 C99 D98 
6 6 0	.YY...GGGB..FAABSTF..CSTF..CPPDD.C.. Y97 B99 F99 S99 C99 D98 
6 6 0	YY....GGGB..FAABSTF..CSTF..CPPDD.C.. Y96 B99 F99 S99 C99 D98 
6 6 0	...YY.GGGB..FAABSTF..CSTF..CPP...CDD Y99 B99 F99 S99 C99 D98 
6 6 0	..YY..GGGB..FAABSTF..CSTF..CPP...CDD Y98 B99 F99 S99 C99 D98 
6 6 0	.YY...GGGB..FAABSTF..CSTF..CPP...CDD Y97 B99 F99 S99 C99 D98 
6 6 0	YY....GGGB..FAABSTF..CSTF..CPP...CDD Y96 B99 F99 S99 C99 D98 
6 6 0	...YYTGGGB.T.AABS.F..CS.F..CPPFDDC.. Y99 B99 S99 T98 C99 D99 
6 6 0	..YY.TGGGB.T.AABS.F..CS.F..CPPFDDC.. Y98 B99 S99 T98 C99 D99 
6 6 0	.YYB..GGGB...AA.STF..CSTF..CPPFDDC.. Y97 B98 S99 C99 D99 
6 6 0	.YY..TGGGB.T.AABS.F..CS.F..CPPFDDC.. Y97 B99 S99 T98 C99 D99 
6 6 0	YY.B..GGGB...AA.STF..CSTF..CPPFDDC.. Y96 B98 S99 C99 D99 
6 6 0	YY...TGGGB.T.AABS.F..CS.F..CPPFDDC.. Y96 B99 S99 T98 C99 D99 
6 6 0	...YYTGGGB.T.AABS.F..CS.F..CPPF..CDD Y99 B99 S99 T98 C99 D98 
6 6 0	..YY.TGGGB.T.AABS.F..CS.F..CPPF..CDD Y98 B99 S99 T98 C99 D98 
6 6 0	.YYB..GGGB...AA.STF..CSTF..CPPF..CDD Y97 B98 S99 C99 D98 
6 6 0	.YY..TGGGB.T.AABS.F..CS.F..CPPF..CDD Y97 B99 S99 T98 C99 D98 
6 6 0	YY.B..GGGB...AA.STF..CSTF..CPPF..CDD Y96 B98 S99 C99 D98 
6 6 0	YY...TGGGB.T.AABS.F..CS.F..CPPF..CDD Y96 B99 S99 T98 C99 D98 
6 6 0	...YY.GGGBSTAA.BSTF..C..F..CPPFDDC.. Y99 B99 T99 A99 C99 D99 
6 6 0	..YY..GGGBSTAA.BSTF..C..F..CPPFDDC.. Y98 B99 T99 A99 C99 D99 
6 6 0	.YY...GGGBSTAA.BSTF..C..F..CPPFDDC.. Y97 B99 T99 A99 C99 D99 
6 6 0	YY....GGGBSTAA.BSTF..C..F..CPPFDDC.. Y96 B99 T99 A99 C99 D99 
6 6 0	...YY.GGGBSTAA.BSTF..C..F..CPPF..CDD Y99 B99 T99 A99 C99 D98 
6 6 0	..YY..GGGBSTAA.BSTF..C..F..CPPF..CDD Y98 B99 T99 A99 C99 D98 
6 6 0	.YY...GGGBSTAA.BSTF..C..F..CPPF..CDD Y97 B99 T99 A99 C99 D98 
6 6 0	YY....GGGBSTAA.BSTF..C..F..CPPF..CDD Y96 B99 T99 A99 C99 D98 
6 6 0	...YYTGGGBSTAA.BS.F..C..F..CPPFDDC.. Y99 B99 A99 T98 C99 D99 
6 6 0	..YYS.GGGBS.AA.B.TF..C.TF..CPPFDDC.. Y98 B99 S99 A99 C99 D99 
6 6 0	..YY.TGGGBSTAA.BS.F..C..F..CPPFDDC.. Y98 B99 A99 T98 C99 D99 
6 6 0	.YYB..GGGBS.AA..STF..C.TF..CPPFDDC.. Y97 B98 A99 C99 D99 
6 6 0	.YY.S.GGGBS.AA.B.TF..C.TF..CPPFDDC.. Y97 B99 S99 A99 C99 D99 
6 6 0	.YY..TGGGBSTAA.BS.F..C..F..CPPFDDC.. Y97 B99 A99 T98 C99 D99 
6 6 0	YY.B..GGGBS.AA..STF..C.TF..CPPFDDC.. Y96 B98 A99 C99 D99 
6 6 0	YY..S.GGGBS.AA.B.TF..C.TF..CPPFDDC.. Y96 B99 S99 A99 C99 D99 
6 6 0	YY...TGGGBSTAA.BS.F..C..F..CPPFDDC.. Y96 B99 A99 T98 C99 D99 
6 6 0	...YYTGGGBSTAA.BS.F..C..F..CPPF..CDD Y99 B99 A99 T98 C99 D98 
6 6 0	..YYS.GGGBS.AA.B.TF..C.TF..CPPF..CDD Y98 B99 S99 A99 C99 D98 
6 6 0	..YY.TGGGBSTAA.BS.F..C..F..CPPF..CDD Y98 B99 A99 T98 C99 D98 
6 6 0	.YYB..GGGBS.AA..STF..C.TF..CPPF..CDD Y97 B98 A99 C99 D98 
6 6 0	.YY.S.GGGBS.AA.B.TF..C.TF..CPPF..CDD Y97 B99 S99 A99 C99 D98 
6 6 0	.YY..TGGGBSTAA.BS.F..C..F..CPPF..CDD Y97 B99 A99 T98 C99 D98 
6 6 0	YY.B..GGGBS.AA..STF..C.TF..CPPF..CDD Y96 B98 A99 C99 D98 
6 6 0	YY..S.GGGBS.AA.B.TF..C.TF..CPPF..CDD Y96 B99 S99 A99 C99 D98 
