7 5 2	.CCBBBHH.FL.AA.FL.G.DFL.G.DUUYEE...Y A99 Y98 G99 D99 E97 
7 5 2	.CCBBB.HHFL..AAFL.G.DFL.G.DUUYEE...Y H99 Y98 G99 D99 E97 
7 5 2	CCBBB.GHHFL.GAAFL....FL...DUUY..DEEY C99 B99 G97 H99 Y98 
7 5 2	GCCBBBGHHFL..AAFL...DFLY..DUUYEE.... H99 Y99 G96 D99 E97 
7 5 2	CC.BBBHH.FL..AAFL.G.DFL.G.DUUYEE...Y C99 G99 D99 Y98 E97 
7 5 2	.CCBBBGHHFL.GAAFL...DFL...DUUYEE...Y H99 Y98 G97 D99 E97 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY....EE A99 Y99 G99 D99 E99 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY....EE H99 Y99 G99 D99 E99 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY.EE..Y C99 G98 D99 Y98 E98 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY....EE C99 G99 D99 Y99 E99 
7 5 2	GCCBBBGHHFL..AAFL...DFLY..DUUY..EE.. H99 Y99 G96 D99 E99 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY..EE.Y C99 G98 D99 Y98 E99 
7 5 2	CC.BBB.HHFL.GAAFL.G.DFL...DUUY...EEY C99 H99 G98 D99 Y98 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFL.G.DUUY.EE..Y A99 Y98 G99 D99 E98 
7 5 2	CCBBB.HH.FL.GAAFL.G.DFL...DUUY...EEY C99 B99 G98 D99 Y98 
7 5 2	GCCBBBGHHFL..AAFL...DFLY..DUUY.EE... H99 Y99 G96 D99 E98 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY..EE.. H99 Y99 G99 D99 E99 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY..EE.. A99 Y99 G99 D99 E99 
7 5 2	CCBBBYHH.FLY.AAFL....FL.G.DUU.G.D.EE C99 B99 Y94 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY..EE.. C99 G99 D99 Y99 E99 
7 5 2	CCBBB..HHFL..AAFL...DFLYG.DUUYG..EE. C99 B99 H99 D99 Y99 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFL...DUUY..EE.Y H99 Y98 G98 D99 E99 
7 5 2	GCCBBBGHHFL..AAFL...DFL...DUUY.EE..Y H99 Y98 G96 D99 E98 
7 5 2	GCCBBBGHHFL.AA.FL...DFL...DUUY...EEY H99 A99 Y98 G96 D99 
7 5 2	CC.BBB.HHFL.AA.FL...DFLYG.DUUYG..EE. C99 H99 A99 D99 Y99 
7 5 2	CCBBB.HH.FL..AAFL...DFLYG.DUUYG...EE C99 B99 Y99 D99 E99 
7 5 2	CCBBB.HH.FL..AAFL.G.DFL.G.DUUY...EEY C99 B99 G99 D99 Y98 
7 5 2	CCDBBBHHDFL.AA.FL....FL.G..UUYGEE..Y C99 A99 D96 Y98 E98 
7 5 2	CCBBB.HH.FL.GAAFL.G..FLY..DUUY..D.EE C99 B99 Y99 G98 E99 
7 5 2	CC.BBBHH.FL.AA.FL...DFLYG.DUUYG...EE C99 A99 D99 Y99 E99 
7 5 2	CCBBBYHH.FLY.AAFL....FL.G.D.UUG.DEE. C99 B99 U99 Y94 
7 5 2	CCBBBYHH.FLY.AAFL...DFL.G.DUU.G..EE. C99 B99 D99 Y94 
7 5 2	CCBBB.HH.FL.GAAFL.G.DFLY..DUUY...EE. C99 B99 Y99 G98 D99 
7 5 2	CCBBBYHH.FLY.AAFL.G..FL.G.DUU...DEE. C99 B99 G99 Y94 
7 5 2	CCBBBYHH.FLYGAAFL.G..FL...DUU...DEE. C99 B99 Y96 G98 
7 5 2	CCBBB.HH.FL.AA.FL....FLYG.DUUYG.D.EE C99 B99 A99 Y99 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFL.G.DUUY.EE..Y C99 D99 G99 Y98 E98 
7 5 2	CCBBB.HH.FL.AA.FL...DFLYG.DUUYG..EE. C99 B99 A99 Y99 D99 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG..UUYG...EE C99 A99 Y99 D96 E99 
7 5 2	CCBBBYHH.FLYAA.FL....FL.G.DUU.G.DEE. C99 B99 A99 Y96 
7 5 2	CCBBB..HHFL.GAAFL.G..FLY..DUUY..DEE. C99 B99 H99 Y99 G98 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUYEE.... A99 Y99 G99 D99 E97 
7 5 2	CCBBBY.HHFLY.AAFL....FL.G.DUU.G.DEE. C99 B99 H99 Y96 
7 5 2	CCBBB..HHFL.AA.FL....FLYG.DUUYG.DEE. C99 B99 H99 A99 Y99 
7 5 2	CC.BBB.HHFL.AA.FL.G..FLYG.DUUY..DEE. C99 H99 A99 G99 Y99 
7 5 2	CCBBB.HH.FL.AA.FL.G..FLYG.DUUY..DEE. C99 B99 A99 G99 Y99 
7 5 2	.CCBBBHH.FL..AAFL.G..FLYG.DUUYEED... Y99 G99 D98 E97 
7 5 2	CCBBB..HHFL..AAFL.G..FLYG.DUUY..DEE. C99 B99 H99 G99 Y99 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG..UUYGEE... C99 A99 Y99 D96 E98 
7 5 2	CCDBBBHHDFL.AA.FL....FLYGUU..YG..EE. C99 A99 Y99 D96 U98 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG..UUYG.EE.. C99 A99 Y99 D96 E99 
7 5 2	CCDBBBHHDFL.AA.FL.G..FLYG..UUY...EE. C99 A99 Y99 G99 D96 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG.UU.YG..EE. C99 A99 Y99 D96 U99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUYEE.... C99 G99 Y99 D99 E97 
7 5 2	CCDBBBHHDFL..AAFL....FLYG..UUYG..EE. C99 A98 Y99 D96 
