0 0 0	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
10 10 0	HJJJPSH.FFPSAA.DPUBIND.UBINDLOGGN.LO J99 F98 H98 A99 N98 L99 B99 I99 G97 
10 10 0	HJJJPSH.FFPSAAN.PUBIND.UBINDLOGG.DLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
10 10 0	HJJJ.SH.FFPSAANDPUBINDPUBINDLOGG..LO J99 P99 F98 H98 A99 N99 L99 B99 I99 G97 
10 10 0	H.JJJSH.FFPSAANDPUB.NDPUBINDLO.IGGLO J98 P99 F98 H98 A99 N99 L99 B99 G99 
10 10 0	H.JJJSH.FFPSAANDPU.INDPUBINDLOB.GGLO J98 P99 F98 H98 A99 N99 L99 I99 G99 
10 10 0	HJJJ.SH.FFPSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F98 H98 A99 D99 N99 L99 I99 G98 
10 10 0	H.JJJSH.FFPSAANDPU.INDPUBINDLOBGG.LO J98 P99 F98 H98 A99 N99 L99 I99 G98 
11 11 0	HJJJ.SHFFDPSAANDPUBINDPUBIN.LO..GGLO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G99 
11 11 0	HJJJ.SHFFDPSAANDPUBINDPUBIN.LO.GG.LO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
11 11 0	HJJJPSHFFDPS.AADPUBINDLUBIN.LOGGN..O J99 F99 H98 A98 D99 N98 B99 I99 G97 
11 11 0	HJJJPSHFFDPSAA.DPUBIND.UBIN.LOGGN.LO J99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
11 11 0	HJJJ.SHFFDPSAANDPUBINDPUBIN.LOGG..LO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G97 
11 11 0	H.JJJSHFFDPSAANDPUB.NDPUBIN.LO.IGGLO J98 P99 F99 H98 A99 D99 N99 L99 B99 G99 
11 11 0	H.JJJSHFFDPSAANDPU.INDPUBIN.LOB.GGLO J98 P99 F99 H98 A99 D99 N99 L99 I99 G99 
11 11 0	H.JJJSHFFDPSAANDPU.INDPUBIN.LOBGG.LO J98 P99 F99 H98 A99 D99 N99 L99 I99 G98 
