8 4 4	GCCBBBGHHFL..AAFL...DFL...DUUY...EEY H99 Y98 G96 D99 
8 2 6	.CCBBBHH.FL..AAFLYG..FLYG.D.UU..DEE. G99 U99 
8 3 5	.CCBBBHH.FL.AADFL...DFL.G..UUYG..EEY A99 Y98 D98 
8 4 4	.CCBBBHH.FL.AA.FL...DFL.G.DUUYGEE..Y A99 Y98 D99 E98 
8 4 4	.CCBBB.HHFL..AAFL...DFL.G.DUUYGEE..Y H99 Y98 D99 E98 
8 4 4	CC.BBB.HHFL..AAFL...DFLYG.DUUYG..EE. C99 H99 Y99 D99 
8 4 4	CC.BBBHH.FL..AAFL...DFL.G.DUUYGEE..Y C99 D99 Y98 E98 
8 4 4	CC.BBB.HHFL.GAAFL.G..FLY..DUUY..DEE. C99 H99 Y99 G98 
8 4 4	CC.BBB.HHFL..AAFL.G..FLYG.DUUY..DEE. C99 H99 Y99 G99 
8 4 4	CC.BBBGHHFL.GAAFL....FL...DUUY..DEEY C99 H99 G97 Y98 
8 2 6	.CCBBBHH..L..AAFLY...FLYG.DFUUG.DEE. F99 U99 
8 4 4	CCBBB..HHFL..AAFL....FLYG.DUUYG.DEE. C99 B99 H99 Y99 
8 4 4	.CCBBB.HHFL.AA.FL.G..FLYG.DUUY..DEE. H99 A99 Y99 G99 
8 4 4	CC.BBB.HHFL.GAAFL.G..FL...DUUY..DEEY C99 H99 G98 Y98 
8 4 4	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY..EE.. Y99 G98 D99 E99 
8 2 6	.CCBBBHH.FL..AAFLY..DFLYG.D.UUG..EE. D99 U99 
8 4 4	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY..EE.. Y99 G99 D99 E99 
8 4 4	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY...EE. H99 Y99 G99 D99 
8 4 4	CCDBBBHHDFL.AA.FL....FL.G..UUYG..EEY C99 A99 D96 Y98 
8 4 4	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY...EE. C99 G99 D99 Y99 
8 3 5	.CCBBBHH.FL.GAAFLYG.DFLY..DUU.....EE G98 D99 E99 
8 3 5	.CCBBBHH.FL..AAFLYG.DFLYG.DUU.EE.... G99 D99 E97 
8 4 4	.CCBBB.HHFL..AAFL...DFLYG.DUUYG...EE H99 Y99 D99 E99 
8 4 4	CC.BBBHH.FL..AAFL...DFLYG.DUUYG...EE C99 D99 Y99 E99 
8 3 5	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G.EE.. A99 D99 E99 
8 3 5	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU....EE. A99 G99 D99 
8 4 4	CC.BBBHH.FL.GAAFL.G.DFLY..DUUY...EE. C99 Y99 G98 D99 
8 3 5	.CCBBB.HHFL.AA.FLY..DFLYG.DUU.G..EE. H99 A99 D99 
8 4 4	GCCBBBGHHFL.AA.FL....FL...DUUY..DEEY H99 A99 Y98 G96 
8 3 5	.CCBBB.HHFL..AAFLY..DFLYG.DUU.G...EE H99 D99 E99 
8 3 5	CC.BBBHH.FL.AA.FLY..DFLYG.DUU.G..EE. C99 A99 D99 
8 4 4	.CCBBBGHHFL.GAAFL...DFLY..DUUY...EE. H99 Y99 G97 D99 
8 4 4	CC.BBBGHHFL.GAAFL....FLY..DUUY..DEE. C99 G97 H99 Y99 
8 4 4	.CCBBBHH.FL.GAAFL.G.DFLY..DUUYEE.... Y99 G98 D99 E97 
8 3 5	.CCBBBGHHFL.GAAFLY...FLY..DUU...D.EE H99 G97 E99 
