0 0 0	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
9 9 0	HJJJPSH.N.PSAAN.PUBIND.UBI.DLO.GGDLO J99 H98 A99 D99 N98 L99 B99 I99 G98 
9 9 0	HJJJ.SH.N.PSAANDPUBINDPUBI.DLO.GG.LO J99 P99 H98 A99 N98 L99 B99 I99 G98 
9 9 0	HJJJPSH.N.PSAAN.PUBIND.UBI.DLOGG.DLO J99 H98 A99 D99 N98 L99 B99 I99 G97 
9 9 0	HJJJ.SH.N.PSAANDPUBINDPUBI.DLOGG..LO J99 P99 H98 A99 N98 L99 B99 I99 G97 
9 9 0	H.JJJSH.N.PSAANDPUB.NDPUBI.DLO.IGGLO J98 P99 H98 A99 N98 L99 B99 G99 
9 9 0	H.JJJSH.N.PSAANDPU.INDPUBI.DLOB.GGLO J98 P99 H98 A99 N98 L99 I99 G99 
9 9 0	HJJJ.SH.N.PSAAN.PU.INDPUBI.DLOBGGDLO J99 P99 H98 A99 D99 N98 L99 I99 G98 
9 9 0	H.JJJSH.N.PSAANDPU.INDPUBI.DLOBGG.LO J98 P99 H98 A99 N98 L99 I99 G98 
10 10 0	HJJJ.SH..DPSAANDPUBINDPUBIN.LO..GGLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G99 
10 10 0	HJJJ.SH..DPSAANDPUBINDPUBIN.LO.GG.LO J99 P99 H98 A99 D99 N99 L99 B99 I99 G98 
10 10 0	HJJJPSH..DPS.AADPUBINDLUBIN.LOGGN..O J99 H98 A98 D99 N98 B99 I99 G97 
10 10 0	HJJJPSH..DPSAA.DPUBIND.UBIN.LOGGN.LO J99 H98 A99 D99 N98 L99 B99 I99 G97 
10 10 0	HJJJ.SH..DPSAANDPUBINDPUBIN.LOGG..LO J99 P99 H98 A99 D99 N99 L99 B99 I99 G97 
10 10 0	H.JJJSH..DPSAANDPUB.NDPUBIN.LO.IGGLO J98 P99 H98 A99 D99 N99 L99 B99 G99 
10 10 0	H.JJJSH..DPSAANDPU.INDPUBIN.LOB.GGLO J98 P99 H98 A99 D99 N99 L99 I99 G99 
10 10 0	H.JJJSH..DPSAANDPU.INDPUBIN.LOBGG.LO J98 P99 H98 A99 D99 N99 L99 I99 G98 
10 10 0	HJJJ.SH.NDPSAANDPUBINDPUBI..LO..GGLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G99 
10 10 0	HJJJ.SH.NDPSAANDPUBINDPUBI..LO.GG.LO J99 P99 H98 A99 D99 N98 L99 B99 I99 G98 
10 10 0	HJJJ.SH.NDPSAANDPUBINDPUBI..LOGG..LO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
10 10 0	H.JJJSH.NDPSAANDPUB.NDPUBI..LO.IGGLO J98 P99 H98 A99 D99 N98 L99 B99 G99 
10 10 0	H.JJJSH.NDPSAANDPU.INDPUBI..LOB.GGLO J98 P99 H98 A99 D99 N98 L99 I99 G99 
10 10 0	H.JJJSH.NDPSAANDPU.INDPUBI..LOBGG.LO J98 P99 H98 A99 D99 N98 L99 I99 G98 
10 10 0	H.JJJSH...PSAANDPUBINDPUBINDLO..GGLO J98 P99 H98 A99 N99 L99 B99 I99 G99 
10 10 0	HJJJ.SH...PSAAN.PUBINDPUBINDLO.GGDLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G98 
10 10 0	H.JJJSH...PSAANDPUBINDPUBINDLO.GG.LO J98 P99 H98 A99 N99 L99 B99 I99 G98 
10 10 0	.JJJPSH...PSHAADPUBINDLUBINDLOGGN..O H97 J99 A98 B99 I99 N98 G97 
10 10 0	HJJJPSH...PS.AA.PUBINDLUBINDLOGGND.O J99 H98 A98 D99 N98 B99 I99 G97 
10 10 0	HJJJPSH...PSBAADPUBINDLU.INDLOGGN..O J99 H98 A98 N98 B98 I99 G97 
10 10 0	HJJJPSH...PS.AADPUBIND.UBINDLOGGN.LO J99 H98 A98 N98 L99 B99 I99 G97 
10 10 0	HJJJPSH...PS..AAPUBINDLUBINDLOGGND.O J99 H98 A97 D99 N98 B99 I99 G97 
10 10 0	HJJJPSH...PSAA..PUBIND.UBINDLOGGNDLO J99 H98 A99 D99 N98 L99 B99 I99 G97 
10 10 0	HJJJ.SH...PSAA.DPUBINDPUBINDLOGGN.LO J99 P99 H98 A99 N98 L99 B99 I99 G97 
10 10 0	HJJJ.SH...PSAAN.PUBINDPUBINDLOGG.DLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G97 
10 10 0	H.JJJSH...PSAANDPUBINDPUBINDLOGG..LO J98 P99 H98 A99 N99 L99 B99 I99 G97 
10 10 0	H.JJJSH...PSAAN.PU.INDPUBINDLOBGGDLO J98 P99 H98 A99 D99 N99 L99 I99 G98 
10 10 0	H.JJJSH.N.PSAANDPUBINDPUBI.DLO..GGLO J98 P99 H98 A99 N98 L99 B99 I99 G99 
10 10 0	HJJJ.SH.N.PSAAN.PUBINDPUBI.DLO.GGDLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G98 
10 10 0	H.JJJSH.N.PSAANDPUBINDPUBI.DLO.GG.LO J98 P99 H98 A99 N98 L99 B99 I99 G98 
10 10 0	HJJJ.SH.N.PSAAN.PUBINDPUBI.DLOGG.DLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
10 10 0	H.JJJSH.N.PSAANDPUBINDPUBI.DLOGG..LO J98 P99 H98 A99 N98 L99 B99 I99 G97 
10 10 0	H.JJJSH.N.PSAAN.PU.INDPUBI.DLOBGGDLO J98 P99 H98 A99 D99 N98 L99 I99 G98 
11 11 0	H.JJJSH..DPSAANDPUBINDPUBIN.LO..GGLO J98 P99 H98 A99 D99 N99 L99 B99 I99 G99 
11 11 0	H.JJJSH..DPSAANDPUBINDPUBIN.LO.GG.LO J98 P99 H98 A99 D99 N99 L99 B99 I99 G98 
11 11 0	.JJJPSH..DPSHAADPUBINDLUBIN.LOGGN..O H97 J99 D99 A98 B99 I99 N98 G97 
11 11 0	HJJJPSH..DPSBAADPUBINDLU.IN.LOGGN..O J99 H98 A98 D99 N98 B98 I99 G97 
11 11 0	HJJJPSH..DPS.AADPUBIND.UBIN.LOGGN.LO J99 H98 A98 D99 N98 L99 B99 I99 G97 
