4 4 0	.FHH.YCF..DYC.AADEC....E..RITTBBRI.. C99 H99 F98 D99 
4 4 0	.FHHDYCF..DYC.AA.EC....E..RITTBBRI.. C99 H99 F98 D98 
4 4 0	.FHH.YCF...YC.AADEC.R.DE..RITTBB.I.. C99 H99 F98 R99 
4 4 0	.FHH.YCF...YC.AADEC..IDE..RITTBBR... C99 H99 F98 I99 
4 4 0	..HH.YC...DYCFAADECFR..E..RITTBB.I.. C99 H99 D99 R99 
4 4 0	..HH.YC...DYCFAADECF.I.E..RITTBBR... C99 H99 D99 I99 
4 4 0	..HHDYC...DYCF.AAECF...E..RITTBBRI.. C99 H99 A99 D98 
4 4 0	..HHDYC...DYCFAA.ECFR..E..RITTBB.I.. C99 H99 D98 R99 
4 4 0	..HHDYC...DYCFAA.ECF.I.E..RITTBBR... C99 H99 D98 I99 
4 4 0	..HH.YC....YCFAADECFRIDE..RITTBB.... C99 H99 R99 I99 
4 4 0	..HH.YC....YCFAADECFR.DE..RITT.BBI.. C99 H99 R99 B99 
4 4 0	...HHYC....YCAA.DECF..DE.FRITTBBRI.. C99 H98 F99 A99 
4 4 0	...HHYC...DYC.AADECF...E.FRITTBBRI.. C99 H98 F99 D99 
4 4 0	...HHYC....YC.AADECFR.DE.FRITTBB.I.. C99 H98 F99 R99 
4 4 0	...HHYC....YC.AADECF.IDE.FRITTBBR... C99 H98 F99 I99 
4 4 0	...HHYCF..DYCFAADEC....E..RITTBBRI.. C99 H98 F99 D99 
4 4 0	...HHYCF...YCFAADEC.R.DE..RITTBB.I.. C99 H98 F99 R99 
4 4 0	...HHYCF...YCFAADEC..IDE..RITTBBR... C99 H98 F99 I99 
4 4 0	.F.HHYCF...YCAA.DEC...DE..RITTBBRI.. C99 H98 F98 A99 
4 4 0	.F.HHYCF..DYC.AADEC....E..RITTBBRI.. C99 H98 F98 D99 
4 4 0	.F.HHYCF...YC.AADEC.R.DE..RITTBB.I.. C99 H98 F98 R99 
4 4 0	.F.HHYCF...YC.AADEC..IDE..RITTBBR... C99 H98 F98 I99 
4 4 0	...HHYC...DYCFAADECFR..E..RITTBB.I.. C99 H98 D99 R99 
4 4 0	...HHYC...DYCFAADECF.I.E..RITTBBR... C99 H98 D99 I99 
4 4 0	...HHYC....YCFAADECFRIDE..RITTBB.... C99 H98 R99 I99 
4 4 0	...HHYC....YCFAADECFR.DE..RITT.BBI.. C99 H98 R99 B99 
4 4 0	.HH..YC...DYCAA.DECF...E.FRITTBBRI.. C99 F99 A99 D99 
4 4 0	.HH.DYC...DYCAA..ECF...E.FRITTBBRI.. C99 F99 A99 D98 
4 4 0	.HH..YC....YCAA.DECFR.DE.FRITTBB.I.. C99 F99 A99 R99 
4 4 0	.HH..YC....YCAA.DECF.IDE.FRITTBBR... C99 F99 A99 I99 
4 4 0	.HH..YC....YCAAIDECF.IDE.FR.TTBBR... C99 F99 A99 I98 
4 4 0	.HH..YC..I.YCAAIDECF..DE.FR.TTBBR... C99 F99 A99 I97 
4 4 0	.HHI.YC..I.YCAA.DECF..DE.FR.TTBBR... C99 F99 A99 I96 
4 4 0	.HH..YC...DYC.AADECFR..E.FRITTBB.I.. C99 F99 D99 R99 
4 4 0	.HH..YC...DYC.AADECF.I.E.FRITTBBR... C99 F99 D99 I99 
4 4 0	.HH.DYC...DYC..AAECF...E.FRITTBBRI.. C99 F99 A99 D98 
4 4 0	.HH.DYC...DYC.AA.ECFR..E.FRITTBB.I.. C99 F99 D98 R99 
4 4 0	.HH.DYC...DYC.AA.ECF.I.E.FRITTBBR... C99 F99 D98 I99 
4 4 0	.HH..YC....YC.AADECFRIDE.FRITTBB.... C99 F99 R99 I99 
4 4 0	.HH..YC....YC.AADECFR.DE.FRITT.BBI.. C99 F99 R99 B99 
4 4 0	.HH..YCF..DYCFAADEC.R..E..RITTBB.I.. C99 F99 D99 R99 
4 4 0	.HH..YCF..DYCFAADEC..I.E..RITTBBR... C99 F99 D99 I99 
4 4 0	.HH.DYCF..DYCF.AAEC....E..RITTBBRI.. C99 F99 A99 D98 
4 4 0	.HH.DYCF..DYCFAA.EC.R..E..RITTBB.I.. C99 F99 D98 R99 
4 4 0	.HH.DYCF..DYCFAA.EC..I.E..RITTBBR... C99 F99 D98 I99 
4 4 0	.HH..YCF...YCFAADEC.RIDE..RITTBB.... C99 F99 R99 I99 
4 4 0	.HH..YCF...YCFAADEC.R.DE..RITT.BBI.. C99 F99 R99 B99 
4 4 0	.HH..YC...DYCFAADECFRI.E..RITTBB.... C99 D99 R99 I99 
4 4 0	.HH..YC...DYCFAADECFR..E..RITT.BBI.. C99 D99 R99 B99 
4 4 0	.HH.DYC...DYCF.AAECFR..E..RITTBB.I.. C99 A99 D98 R99 
4 4 0	.HH.DYC...DYCFRAAECFR..E...ITTBB.I.. C99 A99 D98 R98 
4 4 0	.HH.DYC.R.DYCFRAAECF...E...ITTBB.I.. C99 A99 D98 R97 
4 4 0	.HH.DYC...DYCF.AAECF.I.E..RITTBBR... C99 A99 D98 I99 
4 4 0	.HH.DYC...DYCFAA.ECFRI.E..RITTBB.... C99 D98 R99 I99 
4 4 0	.HH.DYC...DYCFAA.ECFR..E..RITT.BBI.. C99 D98 R99 B99 
4 4 0	.HH..YC....YCFAADECFRIDE..RITT.BB... C99 R99 I99 B99 
4 4 0	.HH..YC....YCFAADECFRIDE..RITT..BB.. C99 R99 I99 B98 
4 4 0	.HH..YC....YCFAADECFRIDE..RITT...BB. C99 R99 I99 B97 
4 4 0	.HH..YC....YCFAADECFRIDE..RITT....BB C99 R99 I99 B96 
4 4 0	HH...Y.....YCAA.DECF..DECFRITTBBRI.. H99 C98 F99 A99 
4 4 0	HH...Y....DYC.AADECF...ECFRITTBBRI.. H99 C98 F99 D99 
4 4 0	HH..DY....DYC.AA.ECF...ECFRITTBBRI.. H99 C98 F99 D98 
4 4 0	HH...Y.....YC.AADECFR.DECFRITTBB.I.. H99 C98 F99 R99 
4 4 0	HH...Y.....YC.AADECF.IDECFRITTBBR... H99 C98 F99 I99 
4 4 0	HH...Y.F..DYCFAADEC....EC.RITTBBRI.. H99 C98 F99 D99 
4 4 0	HH..DY.F..DYCFAA.EC....EC.RITTBBRI.. H99 C98 F99 D98 
4 4 0	HH...Y.F...YCFAADEC.R.DEC.RITTBB.I.. H99 C98 F99 R99 
4 4 0	HH...Y.F...YCFAADEC..IDEC.RITTBBR... H99 C98 F99 I99 
4 4 0	HH...Y....DYCFAADECFR..EC.RITTBB.I.. H99 C98 D99 R99 
4 4 0	HH...Y....DYCFAADECF.I.EC.RITTBBR... H99 C98 D99 I99 
4 4 0	HH..DY....DYCF.AAECF...EC.RITTBBRI.. H99 C98 A99 D98 
4 4 0	HH..DY....DYCFAA.ECFR..EC.RITTBB.I.. H99 C98 D98 R99 
4 4 0	HH..DY....DYCFAA.ECF.I.EC.RITTBBR... H99 C98 D98 I99 
4 4 0	HH...Y.....YCFAADECFRIDEC.RITTBB.... H99 C98 R99 I99 
4 4 0	HH...Y.....YCFAADECFR.DEC.RITT.BBI.. H99 C98 R99 B99 
4 4 0	..HH.Y.....YCAA.DECF..DECFRITTBBRI.. C98 H99 F99 A99 
4 4 0	..HH.Y....DYC.AADECF...ECFRITTBBRI.. C98 H99 F99 D99 
4 4 0	..HHDY....DYC.AA.ECF...ECFRITTBBRI.. C98 H99 F99 D98 
4 4 0	..HH.Y.....YC.AADECFR.DECFRITTBB.I.. C98 H99 F99 R99 
4 4 0	..HH.Y.....YC.AADECF.IDECFRITTBBR... C98 H99 F99 I99 
4 4 0	..HH.Y.F..DYCFAADEC....EC.RITTBBRI.. C98 H99 F99 D99 
4 4 0	..HHDY.F..DYCFAA.EC....EC.RITTBBRI.. C98 H99 F99 D98 
4 4 0	..HH.Y.F...YCFAADEC.R.DEC.RITTBB.I.. C98 H99 F99 R99 
4 4 0	..HH.Y.F...YCFAADEC..IDEC.RITTBBR... C98 H99 F99 I99 
4 4 0	.FHH.Y.F...YCAA.DEC...DEC.RITTBBRI.. C98 H99 F98 A99 
4 4 0	.FHH.Y.F..DYC.AADEC....EC.RITTBBRI.. C98 H99 F98 D99 
