9 0 9	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
21 9 12	HJJJPSH.NDPSAANDPUB.NDLUBI..LO.IGG.O J99 H98 A99 D99 N98 B99 I98 G99 
21 9 12	HJJJPSH.NDPSAANDPU.IND.UBI..LOBGG.LO J99 H98 A99 D99 N98 L99 I99 G98 
21 9 12	HJJJPSH.NDPSAANDPUBIND.UBI..LOGG..LO J99 H98 A99 D99 N98 L99 B99 I99 G97 
21 9 12	HJJJ.SH.NDPSAANDPU.INDPUBI..LOB.GGLO J99 P99 H98 A99 D99 N98 L99 I99 G99 
21 9 12	HJJJPSH.NDPSAANDPU.INDLUBI..LOB..GGO J99 H98 A99 D99 N98 I99 G96 
21 9 12	HJJJ.SH...PSAANDPUBINDPUBINDLOGG..LO J99 P99 H98 A99 N99 L99 B99 I99 G97 
21 9 12	HJJJ.SH...PSAANDPUBINDPUBINDLO.GG.LO J99 P99 H98 A99 N99 L99 B99 I99 G98 
21 9 12	HJJJPSH..DPSAANDPU..ND.UBIN.LOBIGGLO J99 H98 A99 D99 N99 L99 B98 G99 
21 9 12	HJJJPSH..DPSAANDPUBIND.UBIN.LO.GG.LO J99 H98 A99 D99 N99 L99 B99 I99 G98 
21 9 12	HJJJPSH..DPSAANDPUBIND.UBIN.LO.GG.LO J99 H98 A99 D99 N99 L99 B99 I99 G98 
21 9 12	HJJJ.SH...PSAANDPUBINDPUBINDLO.GG.LO J99 P99 H98 A99 N99 L99 B99 I99 G98 
21 12 9	HJJJPSH..DPSAA.DPUBINDLUBIN.LOGGN..O J99 H98 A99 D97 N98 B99 I99 G97 
21 9 12	HJJJPSH.N.PSAANDPUB.ND.UBI.DLO.IGGLO J99 H98 A99 D98 N98 L99 B99 G99 
21 9 12	H.JJJSH.NDPSAANDPU..NDPUBI..LOBIGGLO J98 P99 H98 A99 D99 N98 L99 G99 
21 12 9	HJJJ.SH..DPS.AADPUBINDPUBIN.LOGGN.LO J99 P99 H98 A98 D99 N96 L99 B99 I99 G97 
21 9 12	HJJJ.SH...PSAANDPUBINDPUBINDLO..GGLO J99 P99 H98 A99 N99 L99 B99 I99 G99 
21 12 9	H.JJJSH...PS.AADPUBINDPUBINDLOGGN.LO J98 P99 H98 A98 N96 L99 B99 I99 G97 
21 9 12	H.JJJSH..DPSAANDPU..NDPUBIN.LOBIGGLO J98 P99 H98 A99 D99 N99 L99 G99 
21 12 9	H.JJJSH..DPSAA.DPUBINDPUBIN.LOGGN.LO J98 P99 H98 A99 D99 N98 L99 B99 I99 G97 
21 12 9	.JJJ.SH...PSHAADPUBINDPUBINDLOGGN.LO H97 J99 P99 A98 B99 I99 N96 L99 G97 
19 13 6	.JJJ.SH...PSHAA.PUBINDPUBINDLOGGNDLO H97 J99 P99 A98 D99 B99 I99 N96 L99 G97 
20 14 6	..JJJSH...PSHAA.PUBINDPUBINDLOGGNDLO H97 J98 P99 A98 D99 B99 I99 N96 L99 G97 
20 14 6	.JJJ.SH...PSH.AAPUBINDPUBINDLOGGNDLO H97 J99 P99 A97 D99 B99 I99 N96 L99 G97 
21 9 12	HJJJ.SH..DPSAANDPU.INDPUBIN.LOBGG.LO J99 P99 H98 A99 D99 N99 L99 I99 G98 
21 15 6	JJJ..SH...PSHAA.PUBINDPUBINDLOGGNDLO J96 H97 P99 A98 B99 I99 N96 D99 L99 G97 
21 15 6	H.JJJSH...PS.AA.PUBINDPUBINDLOGGNDLO H96 J98 P99 A98 D99 B99 I99 N96 L99 G97 
21 15 6	..JJJSH...PSH.AAPUBINDPUBINDLOGGNDLO H97 J98 P99 A97 D99 B99 I99 N96 L99 G97 
21 15 6	JJJ..SH...PSH.AAPUBINDPUBINDLOGGNDLO J98 H97 P99 A97 B99 I99 N96 D99 L99 G97 
21 15 6	.JJJ.SH...PSHIAAPUBINDPUB.NDLOGGNDLO H97 J99 P99 A97 D99 B99 I98 N96 L99 G97 
