9 0 9	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. 
12 6 6	CCBBB.HH.FL.GAAFL.G.DFLY..DUUYEE.... C99 B99 Y99 G98 D99 E97 
12 6 6	GCCBBBGHHFL.AA.FL...DFLY..DUUYEE.... H99 A99 Y99 G96 D99 E97 
12 6 6	CCDBBBHHDFL.AA.FL.G..FLYG..UUY....EE C99 A99 Y99 G99 D96 E99 
12 6 6	CCDBBBHHDFL.AA.FL....FLYGUU..YGEE... C99 A99 Y99 D96 U98 E98 
10 7 3	CCDBBBHHD.L.AA..L....FLYGUUF.YGEEF.. C99 F98 A99 Y99 D96 U98 E98 
8 8 0	CCDBBBHHD...AA.......FLYGUUFLYGEEFL. C99 F98 L98 A99 Y99 D96 U98 E98 
9 9 0	CCDBBBHHD....AA......FLYGUUFLYGEEFL. C99 F98 L98 A98 Y99 D96 U98 E98 
9 9 0	CCDBBBHHD.....AA.....FLYGUUFLYGEEFL. C99 F98 L98 A97 Y99 D96 U98 E98 
9 9 0	CCDBBBHHD......AA....FLYGUUFLYGEEFL. C99 F98 L98 A96 Y99 D96 U98 E98 
9 9 0	CCDBBBHHD.......AA...FLYGUUFLYGEEFL. C99 F98 L98 A95 Y99 D96 U98 E98 
