4 4 0	FFFEEDU..R.DUAAR..BBB..JIII.OJ....O. O97 J99 B98 I97 
4 4 0	FFFEEDU..R.DUAAR..BBB...III.OJ....OJ O97 J98 B98 I97 
4 4 0	FFFEE.U..RODUAARODBBB..JIII..J...... D99 J99 B98 I97 
4 4 0	FFFEE.U..RODUAARODBBB...III..J.....J D99 J98 B98 I97 
4 4 0	FFFEE.U..RO.UAARODBBB..DIII..J.....J D98 J98 B98 I97 
4 4 0	FFF.EEU..RODUAAROD..BBBJ..IIIJ...... E99 D99 J99 I99 
4 4 0	FFF.EEU..RODUAAROD..BBB...IIIJ.....J E99 D99 J98 I99 
4 4 0	FFFEE.U..RODUAAROD...BBB..IIIJ.....J D99 J98 B99 I99 
4 4 0	FFF.EEU..RO.UAAROD..BBBD..IIIJ.....J E99 D98 J98 I99 
4 4 0	FFF.EEU..RODUAAROD..BBBJ.III.J...... E99 D99 J99 I98 
4 4 0	FFF.EEU..RODUAAROD..BBB..III.J.....J E99 D99 J98 I98 
4 4 0	FFFEE.U..RODUAAROD...BBB.III.J.....J D99 J98 B99 I98 
4 4 0	FFF.EEU..RO.UAAROD..BBBD.III.J.....J E99 D98 J98 I98 
4 4 0	FFF.EEU..RODUAAROD..BBBJIII..J...... E99 D99 J99 I97 
4 4 0	FFF.EEU..RODUAAROD..BBB.III..J.....J E99 D99 J98 I97 
4 4 0	FFFEE.U..RODUAAROD...BBBIII..J.....J D99 J98 B99 I97 
4 4 0	FFF.EEU..RO.UAAROD..BBBDIII..J.....J E99 D98 J98 I97 
5 5 0	FFFEED...R.DUAARO.UBBBOJ..IIIJ...... U99 O99 J99 B99 I99 
5 5 0	FFFEED...R.DUAARO.UBBBO...IIIJ.....J U99 O99 J98 B99 I99 
5 5 0	FFFEED...R.DUAARO.UBBBOJ.III.J...... U99 O99 J99 B99 I98 
5 5 0	FFFEED...R.DUAARO.UBBBO..III.J.....J U99 O99 J98 B99 I98 
5 5 0	FFFEED...R.DUAARO.UBBBOJIII..J...... U99 O99 J99 B99 I97 
5 5 0	FFFEED...R.DUAARO.UBBBO.III..J.....J U99 O99 J98 B99 I97 
5 5 0	FFFEE....RODUAARODUBBB.J..IIIJ...... D99 U99 J99 B99 I99 
5 5 0	FFFEE....RODUAARODUBBB....IIIJ.....J D99 U99 J98 B99 I99 
5 5 0	FFFEE....RO.UAARODUBBB.D..IIIJ.....J D98 U99 J98 B99 I99 
5 5 0	FFFEED...R.DUAAR..UBBBOJ.IIIOJ...... U99 O98 J99 B99 I98 
5 5 0	FFFEED...R.DUAAR..UBBBO..IIIOJ.....J U99 O98 J98 B99 I98 
5 5 0	FFFEED...R.DUAAR..UBBB.J.IIIOJ....O. U99 O97 J99 B99 I98 
5 5 0	FFFEED...R.DUAAR..UBBB...IIIOJ....OJ U99 O97 J98 B99 I98 
5 5 0	FFFEED...R.DUAAR.JU.BBBJ.IIIO.....O. U99 O97 B98 I98 
5 5 0	FFFEE....RODUAARODUBBB.J.III.J...... D99 U99 J99 B99 I98 
5 5 0	FFFEE....RODUAARODUBBB...III.J.....J D99 U99 J98 B99 I98 
5 5 0	FFFEE....RO.UAARODUBBB.D.III.J.....J D98 U99 J98 B99 I98 
5 5 0	FFFEED...R.DUAAR..UBBBOJIII.OJ...... U99 O98 J99 B99 I97 
5 5 0	FFFEED...R.DUAAR..UBBBO.III.OJ.....J U99 O98 J98 B99 I97 
5 5 0	FFFEED...R.DUAAR..UBBB.JIII.OJ....O. U99 O97 J99 B99 I97 
5 5 0	FFFEED...R.DUAAR..UBBB..III.OJ....OJ U99 O97 J98 B99 I97 
5 5 0	FFFEED...R.DUAAR.JU.BBBJIII.O.....O. U99 O97 B98 I97 
5 5 0	FFFEE....RODUAARODUBBB.JIII..J...... D99 U99 J99 B99 I97 
