3 3 0	..BB..CCC.UG.AAKUG.FFKUG...K..EEE.TT B98 K98 G99 
3 3 0	..BB.GCCC.UG.AAKUG.FFKU....K..EEE.TT B98 K98 G98 
3 3 0	..BB..CCC.U..AAKUGFF.KUG...K.GEEE.TT B98 K98 F99 
3 3 0	..BB..CCC.U..AAKUG.FFKUG...K.G.EEETT B98 K98 E99 
3 3 0	..BB..CCC.U..AAKUG.FFKUG...K.GEEETT. B98 K98 T99 
3 3 0	...BB..CCCU..AAKUG.FFKUG...K.GEEE.TT B97 K98 C99 
3 3 0	...BB.CCC....AAKUG.FFKUG...KUGEEE.TT B97 K98 U99 
3 3 0	...BB.CCC.U.AA.KUG.FFKUG...K.GEEE.TT B97 K98 A99 
3 3 0	...BB.CCC.UG.AAKUG.FFKUG...K..EEE.TT B97 K98 G99 
3 3 0	...BBGCCC.UG.AAKUG.FFKU....K..EEE.TT B97 K98 G98 
3 3 0	...BB.CCC.U..AAKUGFF.KUG...K.GEEE.TT B97 K98 F99 
3 3 0	...BB.CCC.U..AAKUG.FFKUG...K.G.EEETT B97 K98 E99 
3 3 0	...BB.CCC.U..AAKUG.FFKUG...K.GEEETT. B97 K98 T99 
3 3 0	....BB.CCCU..AAKUG.FFKUG...K.GEEE.TT B96 K98 C99 
3 3 0	....BBCCC....AAKUG.FFKUG...KUGEEE.TT B96 K98 U99 
3 3 0	....BBCCC.U.AA.KUG.FFKUG...K.GEEE.TT B96 K98 A99 
3 3 0	....BBCCC.UG.AAKUG.FFKUG...K..EEE.TT B96 K98 G99 
3 3 0	....BBCCC.U..AAKUGFF.KUG...K.GEEE.TT B96 K98 F99 
3 3 0	....BBCCC.U..AAKUG.FFKUG...K.G.EEETT B96 K98 E99 
3 3 0	....BBCCC.U..AAKUG.FFKUG...K.GEEETT. B96 K98 T99 
3 3 0	BB.....CCC...AAKUG.FFKUG...KUGEEE.TT K98 C99 U99 
3 3 0	BB..U..CCCU..AAKUG.FFK.G...K.GEEE.TT K98 C99 U99 
3 3 0	BB.....CCCU.AA.KUG.FFKUG...K.GEEE.TT K98 C99 A99 
